query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	9585	723.5	1472.0	2677.5	32439	2026-05-19T11:11:09Z	2026-05-19T17:10:55Z
web_overview_query	3875	709.4	1449.3	2634.7	33542	2026-05-19T11:11:05Z	2026-05-19T17:10:52Z
stats_table_frustration_metrics_query	2939	665.5	1371.2	2274.2	6508	2026-05-19T11:11:10Z	2026-05-19T17:10:55Z
stats_table_path_bounce_query	2896	1330.9	2666.2	5114.0	20099	2026-05-19T11:11:06Z	2026-05-19T17:10:53Z
web_vitals_path_breakdown_query	614	341.4	831.5	1264.6	4493	2026-05-19T11:11:13Z	2026-05-19T17:10:13Z
web_goals_query	459	1005.8	2303.5	6004.5	9804	2026-05-19T11:11:09Z	2026-05-19T17:10:34Z
stats_table_entry_bounce_query	379	765.6	1838.1	3057.0	3607	2026-05-19T11:16:15Z	2026-05-19T17:08:11Z
external_clicks_query	321	1195.6	2305.0	10238.8	42828	2026-05-19T11:20:24Z	2026-05-19T17:10:27Z
stats_table_path_bounce_and_avg_time_query	1	3006.0	3006.0	3006.0	3006	2026-05-19T14:07:21Z	2026-05-19T14:07:21Z
