query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	6022	646.5	1226.9	2734.0	21086	2026-05-19T02:28:01Z	2026-05-19T08:25:37Z
web_overview_query	2467	614.0	1232.2	2859.8	6724	2026-05-19T02:28:01Z	2026-05-19T08:27:26Z
stats_table_frustration_metrics_query	1898	597.2	1056.9	3104.5	8589	2026-05-19T02:28:09Z	2026-05-19T08:27:27Z
stats_table_path_bounce_query	1880	1154.1	2191.2	4856.5	14477	2026-05-19T02:28:07Z	2026-05-19T08:25:35Z
web_vitals_path_breakdown_query	385	270.9	476.8	1044.6	2389	2026-05-19T02:28:17Z	2026-05-19T08:25:34Z
web_goals_query	340	858.1	1793.5	4461.5	14319	2026-05-19T02:30:15Z	2026-05-19T08:25:37Z
stats_table_entry_bounce_query	219	689.8	1538.0	2729.1	5004	2026-05-19T02:33:32Z	2026-05-19T08:27:26Z
external_clicks_query	211	882.9	1816.0	5040.9	7748	2026-05-19T04:20:07Z	2026-05-19T08:25:24Z
stats_table_query	96	863.1	1475.5	4200.8	6800	2026-05-19T02:30:14Z	2026-05-19T04:15:19Z
stats_table_path_bounce_and_avg_time_query	1	2280.0	2280.0	2280.0	2280	2026-05-19T07:09:59Z	2026-05-19T07:09:59Z
