query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	6101	665.4	1278.0	2467.0	22323	2026-05-19T05:08:52Z	2026-05-19T11:08:11Z
web_overview_query	2267	633.2	1206.7	2390.0	27447	2026-05-19T05:08:50Z	2026-05-19T11:08:09Z
stats_table_frustration_metrics_query	1940	606.4	1255.3	2526.2	7809	2026-05-19T05:08:54Z	2026-05-19T11:08:12Z
stats_table_path_bounce_query	1874	1185.1	2371.8	4693.4	18007	2026-05-19T05:09:15Z	2026-05-19T11:08:10Z
web_vitals_path_breakdown_query	352	271.9	607.1	881.5	1614	2026-05-19T05:10:05Z	2026-05-19T11:05:59Z
web_goals_query	325	1030.9	2300.0	3169.0	54960	2026-05-19T05:10:20Z	2026-05-19T11:07:37Z
stats_table_entry_bounce_query	285	631.5	1107.4	1807.1	2620	2026-05-19T05:08:50Z	2026-05-19T11:06:51Z
external_clicks_query	90	615.5	1381.1	1533.0	1565	2026-05-19T05:15:23Z	2026-05-19T11:06:58Z
stats_table_path_bounce_and_avg_time_query	1	2778.0	2778.0	2778.0	2778	2026-05-19T08:31:40Z	2026-05-19T08:31:40Z
