query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	5898	671.4	1307.3	2951.9	21086	2026-05-19T03:31:46Z	2026-05-19T09:31:21Z
web_overview_query	2485	638.2	1238.4	3089.3	27447	2026-05-19T03:31:44Z	2026-05-19T09:31:19Z
stats_table_frustration_metrics_query	1879	620.6	1156.3	3635.1	8589	2026-05-19T03:31:47Z	2026-05-19T09:31:10Z
stats_table_path_bounce_query	1829	1170.4	2266.2	5213.9	14477	2026-05-19T03:31:44Z	2026-05-19T09:31:04Z
web_vitals_path_breakdown_query	389	276.6	548.4	892.7	2389	2026-05-19T03:31:39Z	2026-05-19T09:31:04Z
web_goals_query	358	1003.6	2111.9	4471.0	54960	2026-05-19T03:35:14Z	2026-05-19T09:29:12Z
external_clicks_query	259	851.9	1532.6	4925.2	7748	2026-05-19T04:20:07Z	2026-05-19T09:30:47Z
stats_table_entry_bounce_query	250	682.2	1365.3	2687.8	5004	2026-05-19T03:32:55Z	2026-05-19T09:31:20Z
stats_table_query	41	939.6	1519.0	5372.4	6800	2026-05-19T03:34:28Z	2026-05-19T04:15:19Z
stats_table_path_bounce_and_avg_time_query	2	2529.0	2753.1	2773.0	2778	2026-05-19T07:09:59Z	2026-05-19T08:31:40Z
