query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	10102	736.5	1505.3	2757.6	32439	2026-05-19T11:43:25Z	2026-05-19T17:43:13Z
web_overview_query	4063	716.9	1495.5	2685.5	33542	2026-05-19T11:43:28Z	2026-05-19T17:43:16Z
stats_table_frustration_metrics_query	3070	678.2	1391.6	2457.6	6508	2026-05-19T11:43:25Z	2026-05-19T17:43:11Z
stats_table_path_bounce_query	3037	1353.7	2698.4	5422.3	20099	2026-05-19T11:43:24Z	2026-05-19T17:43:21Z
web_vitals_path_breakdown_query	649	345.2	836.6	1252.7	4493	2026-05-19T11:43:44Z	2026-05-19T17:42:53Z
web_goals_query	485	1057.4	2543.2	6124.7	9804	2026-05-19T11:45:59Z	2026-05-19T17:43:08Z
stats_table_entry_bounce_query	384	767.2	1664.2	3054.5	3607	2026-05-19T11:43:27Z	2026-05-19T17:43:02Z
external_clicks_query	352	1152.6	2294.8	9595.2	42828	2026-05-19T11:45:15Z	2026-05-19T17:43:11Z
stats_table_preaggregated_query	6	189.3	255.8	256.8	257	2026-05-19T17:18:36Z	2026-05-19T17:19:07Z
stats_table_preaggregated_path_breakdown_query	3	304.7	410.5	420.5	423	2026-05-19T17:18:36Z	2026-05-19T17:19:07Z
web_overview_preaggregated_query	3	180.0	276.3	288.1	291	2026-05-19T17:18:36Z	2026-05-19T17:19:07Z
stats_table_path_bounce_and_avg_time_query	1	3006.0	3006.0	3006.0	3006	2026-05-19T14:07:21Z	2026-05-19T14:07:21Z
