query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	7661	680.7	1311.0	2349.6	32439	2026-05-19T08:21:23Z	2026-05-19T14:21:07Z
web_overview_query	2945	673.7	1290.6	2449.6	33542	2026-05-19T08:21:22Z	2026-05-19T14:21:04Z
stats_table_frustration_metrics_query	2393	622.3	1261.8	2137.0	7809	2026-05-19T08:21:28Z	2026-05-19T14:21:09Z
stats_table_path_bounce_query	2319	1224.8	2373.4	4712.4	20099	2026-05-19T08:21:23Z	2026-05-19T14:21:05Z
web_vitals_path_breakdown_query	571	300.1	727.0	1108.9	1614	2026-05-19T08:21:18Z	2026-05-19T14:20:57Z
web_goals_query	333	1119.6	2428.0	5281.5	54960	2026-05-19T08:25:37Z	2026-05-19T14:18:56Z
stats_table_entry_bounce_query	315	660.7	1257.5	2260.1	3380	2026-05-19T08:25:31Z	2026-05-19T14:19:47Z
external_clicks_query	195	957.8	1959.1	6673.6	10654	2026-05-19T08:35:25Z	2026-05-19T14:20:27Z
stats_table_path_bounce_and_avg_time_query	2	2892.0	2994.6	3003.7	3006	2026-05-19T08:31:40Z	2026-05-19T14:07:21Z
