query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	8537	696.5	1390.9	2336.5	32439	2026-05-19T09:29:23Z	2026-05-19T15:29:18Z
web_overview_query	3310	689.6	1389.1	2409.8	33542	2026-05-19T09:29:33Z	2026-05-19T15:29:20Z
stats_table_frustration_metrics_query	2621	645.5	1341.0	2195.8	4561	2026-05-19T09:29:24Z	2026-05-19T15:28:43Z
stats_table_path_bounce_query	2577	1298.2	2615.2	4834.8	20099	2026-05-19T09:29:34Z	2026-05-19T15:28:55Z
web_vitals_path_breakdown_query	567	332.6	819.4	1246.6	4493	2026-05-19T09:30:35Z	2026-05-19T15:29:07Z
web_goals_query	350	1050.6	2521.2	6115.5	9804	2026-05-19T09:33:19Z	2026-05-19T15:28:00Z
stats_table_entry_bounce_query	349	696.1	1412.0	2254.3	3380	2026-05-19T09:30:23Z	2026-05-19T15:28:57Z
external_clicks_query	245	1247.4	2303.4	10941.3	42828	2026-05-19T09:30:30Z	2026-05-19T15:25:25Z
stats_table_path_bounce_and_avg_time_query	1	3006.0	3006.0	3006.0	3006	2026-05-19T14:07:21Z	2026-05-19T14:07:21Z
