query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	6207	695.6	1513.6	3973.3	21086	2026-05-19T00:50:44Z	2026-05-19T06:50:25Z
web_overview_query	2542	706.0	1728.5	3860.4	13051	2026-05-19T00:50:44Z	2026-05-19T06:50:23Z
stats_table_path_bounce_query	1960	1265.9	2889.6	6368.7	26152	2026-05-19T00:50:44Z	2026-05-19T06:50:23Z
stats_table_frustration_metrics_query	1952	640.4	1293.3	3643.1	8589	2026-05-19T00:50:46Z	2026-05-19T06:50:25Z
web_vitals_path_breakdown_query	366	270.9	481.2	928.6	2389	2026-05-19T00:50:31Z	2026-05-19T06:49:32Z
web_goals_query	320	1066.5	2726.0	6955.3	15400	2026-05-19T00:52:36Z	2026-05-19T06:50:07Z
stats_table_query	191	985.6	1814.5	6889.2	17298	2026-05-19T00:53:11Z	2026-05-19T04:15:19Z
stats_table_entry_bounce_query	190	778.4	2320.0	3982.3	7467	2026-05-19T00:53:04Z	2026-05-19T06:50:04Z
external_clicks_query	127	966.9	2420.5	5543.8	7748	2026-05-19T04:20:07Z	2026-05-19T06:50:20Z
