query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	6157	676.2	1383.2	3421.2	21086	2026-05-19T01:55:48Z	2026-05-19T07:55:29Z
web_overview_query	2549	675.2	1586.4	3461.3	13051	2026-05-19T01:55:46Z	2026-05-19T07:55:22Z
stats_table_frustration_metrics_query	1912	622.8	1183.3	3701.0	8589	2026-05-19T01:55:51Z	2026-05-19T07:55:24Z
stats_table_path_bounce_query	1900	1225.9	2562.3	5954.5	26152	2026-05-19T01:55:47Z	2026-05-19T07:55:22Z
web_vitals_path_breakdown_query	367	273.7	481.1	1178.8	2389	2026-05-19T01:55:54Z	2026-05-19T07:55:25Z
web_goals_query	346	953.6	2213.0	6442.5	14319	2026-05-19T01:56:53Z	2026-05-19T07:54:57Z
stats_table_entry_bounce_query	225	703.8	1850.4	2786.4	5004	2026-05-19T01:55:55Z	2026-05-19T07:54:36Z
external_clicks_query	186	913.0	1940.2	5162.1	7748	2026-05-19T04:20:07Z	2026-05-19T07:55:16Z
stats_table_query	136	1014.7	1812.5	5842.4	17298	2026-05-19T02:00:37Z	2026-05-19T04:15:19Z
stats_table_path_bounce_and_avg_time_query	1	2280.0	2280.0	2280.0	2280	2026-05-19T07:09:59Z	2026-05-19T07:09:59Z
