team_id	access_method	cnt	avg_ms	p95_ms	max_ms
125691	personal_api_key	54	1241.4	4448.1	7748
273906		5	477.8	508.6	515
103946		3	464.3	488.8	490
208866		3	475.7	490.6	491
381545		2	567.0	676.8	689
193681		1	1424.0	1424.0	1424
382752		1	565.0	565.0	565
418183		1	565.0	565.0	565
389838		1	501.0	501.0	501
