query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	6442	696.6	1536.9	4179.2	21086	2026-05-18T23:45:25Z	2026-05-19T05:45:14Z
web_overview_query	2682	710.6	1716.7	4016.5	13051	2026-05-18T23:45:31Z	2026-05-19T05:45:12Z
stats_table_path_bounce_query	2006	1276.4	2926.5	6194.4	26152	2026-05-18T23:45:27Z	2026-05-19T05:45:21Z
stats_table_frustration_metrics_query	1987	642.1	1355.4	3662.8	8589	2026-05-18T23:45:34Z	2026-05-19T05:45:15Z
web_vitals_path_breakdown_query	354	274.0	502.8	1152.7	2389	2026-05-18T23:46:22Z	2026-05-19T05:44:25Z
web_goals_query	283	1141.4	3381.8	8461.1	15400	2026-05-18T23:47:40Z	2026-05-19T05:42:41Z
stats_table_query	243	977.5	1827.7	7317.4	17298	2026-05-18T23:50:11Z	2026-05-19T04:15:19Z
stats_table_entry_bounce_query	180	809.2	2369.8	5012.6	7467	2026-05-18T23:47:38Z	2026-05-19T05:44:36Z
external_clicks_query	71	1076.5	3634.0	6322.8	7748	2026-05-19T04:20:07Z	2026-05-19T05:45:19Z
