query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	5865	667.5	1283.8	2978.0	21086	2026-05-19T02:59:30Z	2026-05-19T08:59:25Z
web_overview_query	2424	627.0	1272.8	3094.2	9997	2026-05-19T02:59:28Z	2026-05-19T08:59:22Z
stats_table_frustration_metrics_query	1871	611.0	1104.0	3279.9	8589	2026-05-19T02:59:34Z	2026-05-19T08:59:24Z
stats_table_path_bounce_query	1842	1166.5	2228.1	5177.6	14477	2026-05-19T02:59:29Z	2026-05-19T08:59:23Z
web_vitals_path_breakdown_query	410	268.6	477.6	1016.0	2389	2026-05-19T03:00:51Z	2026-05-19T08:58:19Z
web_goals_query	339	845.5	2016.6	2981.6	7978	2026-05-19T03:04:51Z	2026-05-19T08:58:29Z
external_clicks_query	232	869.1	1643.3	4990.3	7748	2026-05-19T04:20:07Z	2026-05-19T08:55:14Z
stats_table_entry_bounce_query	221	691.0	1529.0	2726.4	5004	2026-05-19T02:59:39Z	2026-05-19T08:51:29Z
stats_table_query	70	893.6	1492.9	4337.4	6800	2026-05-19T02:59:51Z	2026-05-19T04:15:19Z
stats_table_path_bounce_and_avg_time_query	2	2529.0	2753.1	2773.0	2778	2026-05-19T07:09:59Z	2026-05-19T08:31:40Z
