query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	6341	667.4	1360.0	3323.4	21086	2026-05-19T01:23:49Z	2026-05-19T07:23:13Z
web_overview_query	2602	672.4	1564.7	3414.9	13051	2026-05-19T01:23:45Z	2026-05-19T07:23:09Z
stats_table_frustration_metrics_query	1962	621.8	1181.9	3628.5	8589	2026-05-19T01:23:49Z	2026-05-19T07:23:11Z
stats_table_path_bounce_query	1955	1225.8	2643.0	5798.0	26152	2026-05-19T01:23:48Z	2026-05-19T07:23:10Z
web_vitals_path_breakdown_query	363	272.6	481.7	1064.6	2389	2026-05-19T01:23:43Z	2026-05-19T07:23:37Z
web_goals_query	348	956.0	2197.4	6440.1	14319	2026-05-19T01:29:43Z	2026-05-19T07:22:13Z
stats_table_entry_bounce_query	230	685.5	1815.9	2784.2	5004	2026-05-19T01:28:38Z	2026-05-19T07:21:31Z
stats_table_query	168	965.3	1779.5	4966.9	17298	2026-05-19T01:23:52Z	2026-05-19T04:15:19Z
external_clicks_query	156	920.0	2003.0	5356.1	7748	2026-05-19T04:20:07Z	2026-05-19T07:21:28Z
stats_table_path_bounce_and_avg_time_query	1	2280.0	2280.0	2280.0	2280	2026-05-19T07:09:59Z	2026-05-19T07:09:59Z
