query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	8998	697.6	1406.4	2454.0	32439	2026-05-19T10:01:38Z	2026-05-19T16:01:28Z
web_overview_query	3502	687.3	1388.0	2416.2	33542	2026-05-19T10:01:36Z	2026-05-19T16:01:29Z
stats_table_frustration_metrics_query	2763	647.0	1322.8	2193.3	5117	2026-05-19T10:01:40Z	2026-05-19T16:01:27Z
stats_table_path_bounce_query	2713	1298.7	2589.6	4715.1	20099	2026-05-19T10:01:30Z	2026-05-19T16:01:24Z
web_vitals_path_breakdown_query	588	342.1	853.9	1282.0	4493	2026-05-19T10:02:02Z	2026-05-19T15:58:43Z
web_goals_query	417	1013.6	2367.8	6083.1	9804	2026-05-19T10:01:39Z	2026-05-19T16:01:27Z
stats_table_entry_bounce_query	359	696.4	1366.7	2250.2	3380	2026-05-19T10:01:36Z	2026-05-19T15:59:20Z
external_clicks_query	283	1196.5	2304.2	10746.3	42828	2026-05-19T10:02:22Z	2026-05-19T16:00:38Z
stats_table_path_bounce_and_avg_time_query	1	3006.0	3006.0	3006.0	3006	2026-05-19T14:07:21Z	2026-05-19T14:07:21Z
