run_id,head_sha,head_branch,shard_count
25429013889,37c7ed30af4b18a52af0532b9e9530db379ee21b,chore/upgrade-social-auth-app-django,1
25429299332,676b010efb3b9fdf38304831313fdab9991a6d41,arnaud/replay-summary-hard-cap,2
25430347662,9af8faa19bf9bb8fe5b6e843157f27d3e93fe7dd,posthog-code/feat-llma-mcp-scorer-tools,1
25430755826,08436ee2e27fc35447401f2ca7564f89ee8defb2,feat/team-scoped-manager,1
25431462610,27b6ed83bb84e265227a597615d981ee26dd5dd3,posthog-code/feat-llma-mcp-scorer-tools,1
25431564447,d11a4c45668c89a649683643796dd465257bb224,posthog-code/batch-exports-mcp-tools,1
25432095611,776bfa43aeaf708e35944be51e30f3888032561b,thotta/fix/optimize-stripe-signals-query,1
25432776970,2a022e840277436af3afe3e1ba14ff2f3369a725,posthog-code/batch-exports-mcp-tools,1
25433250980,2715a6c13bb4508be243b2c0f338c89e2d760dbe,experiments/guide-agents-around-control-variant-validation,1
25433279369,38a246c16077d7bd3e0e6dbf99edea86b5c2201f,worktree-known-device-backend-session-key,3
25433297049,8e003b418dab25c4c58bd464c0c8e983a2662b29,thotta/fix/optimize-stripe-signals-query,4
25433370514,ccb85b2b054cc0ee40ed52071671a5eff0b6f4ed,experiments/guide-agents-around-control-variant-validation,1
25433446697,1d09b96c920b90ec08be7fa4923f72a9c0db1ba8,posthog-code/batch-exports-mcp-tools,1
25433555163,2270613be9a4645f3fb9530ee81fd0e9441f7eed,feat/llma-clustering-cohort-filters,4
25433891948,46aa4257f8190e75826b1d51abf6c2387ad04d6b,feat/llma-clustering-cohort-filters,4
25434325345,fae2cf150baa42d05d9286a7cb0c2d7eb123035e,posthog-code/batch-exports-mcp-tools,1
25435481517,8b55d5a3b33d8aa3e1f492d70a8c4b2c9c95ae40,claude/remove-ai-first-flag-kSLCG,1
25436501190,76edff617b069bc291009456b65551f28ce72567,posthog-code/batch-exports-mcp-tools,1
25436640976,f60d89dd5e86ae956d1b33d2b0251006954f738f,claude/quizzical-panini-c2d1d0,1
25436642148,5abf627a091b2dd7476ecd77854e8c41ca465052,andy/signals-04-scout-fleet,1
25436643730,05e7a36d9412c40ec208cd2cb70a3e635e15290f,andy/signals-05-hardening,1
