team_id	exception_code	exception_msg	query_id	event_time
324931	386	Code: 386. DB::Exception: There is no supertype for types String, UInt8 because some of them are String/FixedString/Enum and some of them are not: while executing 'FUNCTION notEquals(tupleElement(tuple(mat_$viewport_width, mat_$viewport_height), 1) :: 14, 0 : 4) -> notEquals(tupleElement(tuple(mat_$viewport_width, mat_$viewport_height), 1), 0) Nullable(UInt8) : 13': While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (NO_COMMON_TYPE) (version 25.12.8.9 (official build))	324931_7c26c854-5bad-4eb4-a76f-2615864cb0e4_UxkaWLJd	2026-05-18T13:34:40Z
324931	386	Code: 386. DB::Exception: There is no supertype for types String, UInt8 because some of them are String/FixedString/Enum and some of them are not: while executing 'FUNCTION notEquals(tupleElement(tuple(mat_$viewport_width, mat_$viewport_height), 1) :: 14, 0 : 4) -> notEquals(tupleElement(tuple(mat_$viewport_width, mat_$viewport_height), 1), 0) Nullable(UInt8) : 13': While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (NO_COMMON_TYPE) (version 25.12.8.9 (official build))	324931_32cf0af9-9b6a-4581-836b-9aec0c4ffb9d_TuE93zEk	2026-05-18T11:08:09Z
427844	386	Code: 386. DB::Exception: There is no supertype for types String, UInt8 because some of them are String/FixedString/Enum and some of them are not: while executing 'FUNCTION notEquals(tupleElement(tuple(mat_$viewport_width, mat_$viewport_height), 1) :: 14, 0 : 4) -> notEquals(tupleElement(tuple(mat_$viewport_width, mat_$viewport_height), 1), 0) Nullable(UInt8) : 13': While executing MergeTreeSelect(pool: ReadPool, algorithm: Thread). (NO_COMMON_TYPE) (version 25.12.8.9 (official build))	427844_26825ef6-4a82-4ecf-9109-a6e5acd7c07b_VqGdN1hS	2026-05-18T01:52:50Z
