query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	9122	718.7	1457.4	2610.4	32439	2026-05-19T10:33:26Z	2026-05-19T16:33:23Z
web_overview_query	3613	708.8	1430.0	2679.7	33542	2026-05-19T10:33:28Z	2026-05-19T16:33:22Z
stats_table_frustration_metrics_query	2803	662.6	1372.8	2252.4	6508	2026-05-19T10:33:26Z	2026-05-19T16:33:20Z
stats_table_path_bounce_query	2760	1330.6	2683.1	5144.1	20099	2026-05-19T10:33:25Z	2026-05-19T16:33:22Z
web_vitals_path_breakdown_query	588	344.4	836.6	1282.0	4493	2026-05-19T10:34:07Z	2026-05-19T16:28:40Z
web_goals_query	418	1013.8	2353.9	6081.2	9804	2026-05-19T10:33:44Z	2026-05-19T16:33:17Z
stats_table_entry_bounce_query	354	732.7	1567.3	2636.8	3607	2026-05-19T10:34:15Z	2026-05-19T16:33:13Z
external_clicks_query	298	1216.3	2327.2	10669.4	42828	2026-05-19T10:35:11Z	2026-05-19T16:30:59Z
stats_table_path_bounce_and_avg_time_query	1	3006.0	3006.0	3006.0	3006	2026-05-19T14:07:21Z	2026-05-19T14:07:21Z
